"Код","Название","Адрес"
"1","Категория Б","#NULL!"
"2","Эмир","Толстого, 104, 1 этаж"
"3","Ғұламжан","Акназар Хан, 60/3"
"4","Құрмет","Жибек жолы, 95, 1-2 этаж"
"5","Құрмет","Жуманова, 23/1"
"6","Құс жолы","Алибекова, 1а, 1 этаж"
"7","Ғабит","Хайруллина, 31"
"8","Ғабит","Бекболатова, 131/1"
"9","ҒАЗИЗА","Нурсултана Назарбаева проспект, 31, 1 этаж"
"10","Қазығұрт","Алдиярова, 2/1"
"11","Қазығұрт","Богенбай батыра, 83"
"12","Қазына","Елшибек батыра, 116/1"
"13","Қазына","Нурсат микрорайон, 107, 1 этаж"
"14","Қазына","18-й микрорайон, 8, 1 этаж"
"15","Қазына","Отырар, 64/1"
"16","Қайнар","Сайрамская, 38"
"17","Қайнар","Жубанова, 40Б"
"18","Қайсар","Рыскулова, 1007"
"19","Қара-су","Туркестанская, 4, 1 этаж"
"20","Қарахан Баба","Новостройка, 28"
"21","Қарлығаш","Туякбаева, 14а"
"22","Қарлығаш","Байтурсынова, 73, 1 этаж"
"23","Қарлығаш","Верещагина, 75"
"24","Қасиет","Байысбаева, 1/1, 1 этаж"
"25","ӘБДІРАХМАН АТА","Панфилова, 68/3, 1 этаж"
"26","Әдiлет","Казакстан, 16а"
"27","Әдемі","Дулати, 54, 1 этаж"
"28","Әдемі әже","Аккурай, 33/1"
"29","Әділ","Бактияров, 27/1"
"30","Әділет","4-й микрорайон, 3а"
"31","ҰЛ АС","Жолан Батыра, 115/1"
"32","Әлiби","Жибек жолы, 4/8"
"33","Әлия","Сурикова, 1а/1"
"34","Ұлық-төбе","Сайрамская, 45д, 1 этаж"
"35","Үміт","Северный жилмассив, 142/6"
"36","Қос бұлақ","Назарбекова, 222/1, 2 этаж"
"37","Әсел","8-й микрорайон, 5/1"
"38","ӘСЕЛ","Муканова, 87"
"39","Әсел","Восток микрорайон, 90, 1 этаж"
"40","Әсел","Жиделибайсын, 89, 1 этаж"
"41","Әсел","Алимкулова, 4, 1 этаж"
"42","Қуаныш","8-й микрорайон, 7/2"
"43","Қуаныш","Спатаева, 65/1"
"44","Қуаныш","Кабанбай батыра проспект, 5а, 1 этаж"
"45","Қудайберген-Ата","Аргынбекова, 1/5"
"46","Әшірбай Ата","4-й микрорайон, 9/5"
"47","Қызмет","Тауке Хана проспект, 160, 1 этаж"
"48","Қызмет","Коктем, 1/1"
"49","13","Майтобе, 4/1"
"50","24 сағат","Гагарина, 188/1"
"51","28","Гагарина, 88, 1 этаж"
"52","3-шi дүкен","Интернациональная, 56/1"
"53","700","Отарбаева, 665/1"
"54","77","Балтабай Нурлыбекова, 63/1"
"55","777","Жанкожа батыра, 205Б"
"56","777","8-й микрорайон, 12, 1 этаж"
"57","777","Байдибек би проспект, 20/4"
"58","888","Абдыразакова, 4/2"
